Drug 1,Drug 2,Interaction Description
Loratadine,Palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Loratadine.
Cortisone acetate,Dasatinib,The serum concentration of Dasatinib can be increased when it is combined with Cortisone acetate.
Nicotine,Leflunomide,The metabolism of Leflunomide can be decreased when combined with Nicotine.
Esmolol,Salicylic acid,Esmolol may decrease the antihypertensive activities of Salicylic acid.
Cangrelor,Salicylic acid,The risk or severity of adverse effects can be increased when Cangrelor is combined with Salicylic acid.
Plicamycin,Ibuprofen,Plicamycin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.
Olsalazine,Ibuprofen,Olsalazine may increase the nephrotoxic activities of Ibuprofen.
Salicylic acid,Irbesartan,The metabolism of Irbesartan can be decreased when combined with Salicylic acid.
Caffeine,Losartan,The metabolism of Losartan can be decreased when combined with Caffeine.
Loratadine,Rolapitant,The metabolism of Rolapitant can be decreased when combined with Loratadine.
Famotidine,Cimetidine,The metabolism of Cimetidine can be decreased when combined with Famotidine.
Primidone,Omeprazole,The metabolism of Omeprazole can be increased when combined with Primidone.
Salicylic acid,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Salicylic acid.
Bupropion,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Bupropion.
Etravirine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Etravirine.
Acetaminophen,Trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Acetaminophen.
Praziquantel,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Praziquantel.
Salicylic acid,Zafirlukast,The metabolism of Zafirlukast can be decreased when combined with Salicylic acid.
Ibuprofen,Zafirlukast,The metabolism of Zafirlukast can be decreased when combined with Ibuprofen.
Magnesium hydroxide,Gefitinib,The serum concentration of Gefitinib can be decreased when it is combined with Magnesium hydroxide.
Lidocaine,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Lidocaine.
Magnesium hydroxide,Pazopanib,The serum concentration of Pazopanib can be decreased when it is combined with Magnesium hydroxide.
Minoxidil,Carvedilol,The risk or severity of adverse effects can be increased when Minoxidil is combined with Carvedilol.
Benzocaine,Rotigotine,Benzocaine may increase the sedative activities of Rotigotine.
Dimenhydrinate,Guanfacine,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Guanfacine.
Lidocaine,Pramipexole,Lidocaine may increase the sedative activities of Pramipexole.
Methohexital,Nitroglycerin,Methohexital may increase the hypotensive activities of Nitroglycerin.
Atenolol,Minoxidil,The risk or severity of adverse effects can be increased when Atenolol is combined with Minoxidil.
Arotinolol,Minoxidil,The risk or severity of adverse effects can be increased when Arotinolol is combined with Minoxidil.
Nicorandil,Minoxidil,Nicorandil may increase the hypotensive activities of Minoxidil.
Hydrocortisone,Tubocurarine,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Tubocurarine.
Loratadine,Tapentadol,Loratadine may increase the central nervous system depressant (CNS depressant) activities of Tapentadol.
Lidocaine,Fluspirilene,The risk or severity of adverse effects can be increased when Lidocaine is combined with Fluspirilene.
Lidocaine,Brexpiprazole,The risk or severity of adverse effects can be increased when Lidocaine is combined with Brexpiprazole.
Loratadine,Difenoxin,The risk or severity of adverse effects can be increased when Loratadine is combined with Difenoxin.
Lidocaine,Ezogabine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Ezogabine.
Mepivacaine,Benzocaine,The risk or severity of adverse effects can be increased when Mepivacaine is combined with Benzocaine.
Bromazepam,Benzocaine,The risk or severity of adverse effects can be increased when Bromazepam is combined with Benzocaine.
Fluticasone propionate,Dimenhydrinate,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Dimenhydrinate.
Amobarbital,Dimenhydrinate,The risk or severity of adverse effects can be increased when Amobarbital is combined with Dimenhydrinate.
Hexobarbital,Dimenhydrinate,The risk or severity of adverse effects can be increased when Hexobarbital is combined with Dimenhydrinate.
Nalbuphine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Nalbuphine is combined with Dimenhydrinate.
Flunitrazepam,Dimenhydrinate,The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Dimenhydrinate.
Lidocaine,Lamotrigine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Lamotrigine.
Morphine,Loratadine,The risk or severity of adverse effects can be increased when Morphine is combined with Loratadine.
Dextroamphetamine,Loratadine,Dextroamphetamine may decrease the sedative activities of Loratadine.
Fluticasone propionate,Fexofenadine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Fexofenadine.
Clotrimazole,Codeine,The therapeutic efficacy of Codeine can be decreased when used in combination with Clotrimazole.
Primidone,Lidocaine,The metabolism of Lidocaine can be increased when combined with Primidone.
Pentobarbital,Lidocaine,The metabolism of Lidocaine can be increased when combined with Pentobarbital.
Oxaliplatin,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Oxaliplatin.
Albendazole,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Albendazole.
Ixazomib,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Ixazomib.
Iloperidone,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Iloperidone.
Fluphenazine,Lidocaine,The risk or severity of adverse effects can be increased when Fluphenazine is combined with Lidocaine.
Clorazepic acid,Lidocaine,The risk or severity of adverse effects can be increased when Clorazepic acid is combined with Lidocaine.
Deferasirox,Acetaminophen,The serum concentration of Acetaminophen can be decreased when it is combined with Deferasirox.
Erlotinib,Caffeine,The metabolism of Caffeine can be decreased when combined with Erlotinib.
Cyproterone acetate,Caffeine,The serum concentration of Caffeine can be decreased when it is combined with Cyproterone acetate.
Pimozide,Caffeine,The metabolism of Caffeine can be decreased when combined with Pimozide.
Tolvaptan,Caffeine,The serum concentration of Caffeine can be increased when it is combined with Tolvaptan.
Clotrimazole,Progesterone,The absorption of Progesterone can be decreased when combined with Clotrimazole.
Fosphenytoin,Famotidine,The metabolism of Famotidine can be increased when combined with Fosphenytoin.
Granisetron,Famotidine,Granisetron may increase the QTc-prolonging activities of Famotidine.
Nicotine,Adenosine,Nicotine may increase the atrioventricular blocking (AV block) activities of Adenosine.
Minoxidil,Guanadrel,Minoxidil may increase the hypotensive activities of Guanadrel.
Warfarin,Methyl salicylate,Warfarin may increase the anticoagulant activities of Methyl salicylate.
Nimesulide,Methyl salicylate,The risk or severity of adverse effects can be increased when Nimesulide is combined with Methyl salicylate.
Saxagliptin,Methyl salicylate,Saxagliptin may increase the hypoglycemic activities of Methyl salicylate.
Bromocriptine,Methyl salicylate,Bromocriptine may increase the hypoglycemic activities of Methyl salicylate.
Fluticasone propionate,Ambenonium,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Ambenonium.
Prochlorperazine,Calcium carbonate,Prochlorperazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Triflupromazine,Calcium carbonate,Triflupromazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Lacidipine,Magnesium hydroxide,The risk or severity of adverse effects can be increased when Lacidipine is combined with Magnesium hydroxide.
Hydrocortisone,Gatifloxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Gatifloxacin.
Hydrocortisone,Trovafloxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Trovafloxacin.
Cortisone acetate,Furosemide,Cortisone acetate may increase the hypokalemic activities of Furosemide.
Bromocriptine,Cortisone acetate,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Cortisone acetate.
Trolamine salicylate,Cortisone acetate,The risk or severity of adverse effects can be increased when Trolamine salicylate is combined with Cortisone acetate.
Bismuth subcitrate potassium,Cortisone acetate,The bioavailability of Cortisone acetate can be decreased when combined with Bismuth subcitrate potassium.
Tiaprofenic acid,Fluticasone propionate,The risk or severity of adverse effects can be increased when Tiaprofenic acid is combined with Fluticasone propionate.
Lisuride,Fluticasone propionate,The risk or severity of adverse effects can be increased when Lisuride is combined with Fluticasone propionate.
Ethylmorphine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Fluticasone propionate.
Methadyl acetate,Fluticasone propionate,The risk or severity of adverse effects can be increased when Methadyl acetate is combined with Fluticasone propionate.
Vortioxetine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Vortioxetine is combined with Fluticasone propionate.
Rufinamide,Fluticasone propionate,The risk or severity of adverse effects can be increased when Rufinamide is combined with Fluticasone propionate.
Nimesulide,Hydrocortisone,The risk or severity of adverse effects can be increased when Nimesulide is combined with Hydrocortisone.
Methylergometrine,Hydrocortisone,The risk or severity of adverse effects can be increased when Methylergometrine is combined with Hydrocortisone.
Calcium carbonate,Betamethasone,The bioavailability of Betamethasone can be decreased when combined with Calcium carbonate.
Sodium bicarbonate,Fluprednidene,The bioavailability of Fluprednidene can be decreased when combined with Sodium bicarbonate.
Ibuprofen,Desonide,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Desonide.
Methyl salicylate,Tixocortol,The risk or severity of adverse effects can be increased when Methyl salicylate is combined with Tixocortol.
Methyl salicylate,Dexamethasone,The risk or severity of adverse effects can be increased when Methyl salicylate is combined with Dexamethasone.
Magnesium hydroxide,Flunisolide,The bioavailability of Flunisolide can be decreased when combined with Magnesium hydroxide.
Omeprazole,Sulfisoxazole,The metabolism of Sulfisoxazole can be decreased when combined with Omeprazole.
Letrozole,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Letrozole.
Erlotinib,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Erlotinib.
Amodiaquine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Amodiaquine.
Zopiclone,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Zopiclone.
Dexchlorpheniramine maleate,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Dexchlorpheniramine maleate.
Troleandomycin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Troleandomycin.
Digitoxin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Digitoxin.
Netupitant,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Netupitant.
Phenobarbital,Nicotine,The metabolism of Nicotine can be increased when combined with Phenobarbital.
Bevantolol,Nicotine,The risk or severity of adverse effects can be increased when Bevantolol is combined with Nicotine.
Felbamate,Nicotine,The metabolism of Nicotine can be decreased when combined with Felbamate.
Galantamine,Nicotine,The risk or severity of adverse effects can be increased when Galantamine is combined with Nicotine.
Cortisone acetate,Imatinib,The metabolism of Imatinib can be decreased when combined with Cortisone acetate.
Loratadine,Imatinib,The metabolism of Imatinib can be decreased when combined with Loratadine.
Cortisone acetate,Clarithromycin,The metabolism of Clarithromycin can be decreased when combined with Cortisone acetate.
Acetaminophen,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Acetaminophen.
Caffeine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Caffeine.
Cortisone acetate,Ranolazine,The metabolism of Ranolazine can be decreased when combined with Cortisone acetate.
Caffeine,Nilotinib,The metabolism of Nilotinib can be decreased when combined with Caffeine.
Caffeine,Itraconazole,The metabolism of Itraconazole can be decreased when combined with Caffeine.
Cortisone acetate,Osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Cortisone acetate.
Fluticasone propionate,Palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Fluticasone propionate.
Betaxolol,Salicylic acid,Betaxolol may decrease the antihypertensive activities of Salicylic acid.
Quinapril,Ibuprofen,The risk or severity of adverse effects can be increased when Quinapril is combined with Ibuprofen.
Ibuprofen,Irbesartan,The metabolism of Irbesartan can be decreased when combined with Ibuprofen.
Hydrocortisone,Tibolone,The serum concentration of Tibolone can be increased when it is combined with Hydrocortisone.
Fluticasone propionate,Sertraline,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Sertraline.
Nicotine,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Nicotine.
Salicylic acid,Midostaurin,The metabolism of Midostaurin can be decreased when combined with Salicylic acid.
Nicotine,Diphenhydramine,The metabolism of Diphenhydramine can be decreased when combined with Nicotine.
Omeprazole,Cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Omeprazole.
Lidocaine,Valproic acid,The risk or severity of adverse effects can be increased when Lidocaine is combined with Valproic acid.
Acetaminophen,Tolbutamide,The metabolism of Tolbutamide can be decreased when combined with Acetaminophen.
Tolvaptan,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Tolvaptan.
Pipotiazine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Pipotiazine.
Atazanavir,Omeprazole,Atazanavir can cause a decrease in the absorption of Omeprazole resulting in a reduced serum concentration and potentially a decrease in efficacy.
Dronabinol,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Dronabinol.
Deferasirox,Esomeprazole,The serum concentration of Esomeprazole can be decreased when it is combined with Deferasirox.
Salicylic acid,Crisaborole,The metabolism of Crisaborole can be decreased when combined with Salicylic acid.
Omeprazole,Zafirlukast,The metabolism of Zafirlukast can be decreased when combined with Omeprazole.
Acetaminophen,Sulfamethoxazole,The metabolism of Sulfamethoxazole can be decreased when combined with Acetaminophen.
Acetaminophen,Lapatinib,The metabolism of Lapatinib can be decreased when combined with Acetaminophen.
Nitroglycerin,Quinapril,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Quinapril.
Fluticasone propionate,Rotigotine,Fluticasone propionate may increase the sedative activities of Rotigotine.
Acetaminophen,Vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Acetaminophen.
Nitroglycerin,Terazosin,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Terazosin.
Oxprenolol,Nitroglycerin,The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nitroglycerin.
Verapamil,Nitroglycerin,The risk or severity of adverse effects can be increased when Verapamil is combined with Nitroglycerin.
Cilnidipine,Nitroglycerin,The risk or severity of adverse effects can be increased when Cilnidipine is combined with Nitroglycerin.
Loratadine,Magnesium sulfate,Loratadine may increase the central nervous system depressant (CNS depressant) activities of Magnesium sulfate.
Benzocaine,Fluspirilene,The risk or severity of adverse effects can be increased when Benzocaine is combined with Fluspirilene.
Benzocaine,Melperone,The risk or severity of adverse effects can be increased when Benzocaine is combined with Melperone.
Lidocaine,Fospropofol,The risk or severity of adverse effects can be increased when Lidocaine is combined with Fospropofol.
Fluticasone propionate,Methsuximide,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Methsuximide.
Fluticasone propionate,Meclizine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Meclizine.
Edoxaban,Benzocaine,The serum concentration of Benzocaine can be increased when it is combined with Edoxaban.
Chlorpromazine,Benzocaine,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Benzocaine.
Diphenhydramine,Benzocaine,The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Benzocaine.
Risperidone,Benzocaine,The risk or severity of adverse effects can be increased when Risperidone is combined with Benzocaine.
Rifampicin,Loratadine,The metabolism of Loratadine can be increased when combined with Rifampicin.
Rosuvastatin,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Rosuvastatin.
Methylphenobarbital,Loratadine,The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Loratadine.
Tolcapone,Loratadine,The risk or severity of adverse effects can be increased when Tolcapone is combined with Loratadine.
Lidocaine,Carbinoxamine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Carbinoxamine.
Salicylic acid,Flunarizine,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Flunarizine.
Fluticasone propionate,Olopatadine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Olopatadine.
Triazolam,Lidocaine,The risk or severity of adverse effects can be increased when Triazolam is combined with Lidocaine.
Perphenazine,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Perphenazine.
Salicylic acid,Perhexiline,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Perhexiline.
Calcium carbonate,Rilpivirine,The serum concentration of Rilpivirine can be decreased when it is combined with Calcium carbonate.
Methysergide,Acetaminophen,The risk or severity of adverse effects can be increased when Methysergide is combined with Acetaminophen.
Nicotine,Theophylline,The metabolism of Theophylline can be decreased when combined with Nicotine.
Carbamazepine,Caffeine,The metabolism of Caffeine can be increased when combined with Carbamazepine.
Clonidine,Caffeine,The metabolism of Caffeine can be decreased when combined with Clonidine.
Conivaptan,Caffeine,The serum concentration of Caffeine can be increased when it is combined with Conivaptan.
Chlorpromazine,Caffeine,The metabolism of Caffeine can be decreased when combined with Chlorpromazine.
Chlorzoxazone,Caffeine,The metabolism of Caffeine can be decreased when combined with Chlorzoxazone.
Cyclobenzaprine,Caffeine,The metabolism of Caffeine can be decreased when combined with Cyclobenzaprine.
Enasidenib,Caffeine,The metabolism of Caffeine can be decreased when combined with Enasidenib.
Cortisone acetate,Dienestrol,The serum concentration of Dienestrol can be increased when it is combined with Cortisone acetate.
Calcium carbonate,Dexmethylphenidate,Calcium carbonate can cause an increase in the absorption of Dexmethylphenidate resulting in an increased serum concentration and potentially a worsening of adverse effects.
Ziprasidone,Famotidine,Ziprasidone may increase the QTc-prolonging activities of Famotidine.
Dronedarone,Famotidine,Dronedarone may increase the QTc-prolonging activities of Famotidine.
Ascorbic acid,Amphetamine,The serum concentration of Amphetamine can be decreased when it is combined with Ascorbic acid.
Tolazamide,Methyl salicylate,Tolazamide may increase the hypoglycemic activities of Methyl salicylate.
Nitroglycerin,Methylergometrine,The bioavailability of Methylergometrine can be increased when combined with Nitroglycerin.
Fleroxacin,Calcium carbonate,Fleroxacin can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Thioproperazine,Calcium carbonate,Thioproperazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Triethylenetetramine,Calcium carbonate,Triethylenetetramine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Esomeprazole,Dextroamphetamine,Esomeprazole can cause an increase in the absorption of Dextroamphetamine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Famotidine,Betahistine,The therapeutic efficacy of Betahistine can be decreased when used in combination with Famotidine.
Mesalazine,Cortisone acetate,The risk or severity of adverse effects can be increased when Mesalazine is combined with Cortisone acetate.
Droxicam,Cortisone acetate,The risk or severity of adverse effects can be increased when Droxicam is combined with Cortisone acetate.
Lornoxicam,Cortisone acetate,The risk or severity of adverse effects can be increased when Lornoxicam is combined with Cortisone acetate.
Oxaprozin,Cortisone acetate,The risk or severity of adverse effects can be increased when Oxaprozin is combined with Cortisone acetate.
Calcium carbonate,Technetium Tc-99m medronate,The serum concentration of Technetium Tc-99m medronate can be decreased when it is combined with Calcium carbonate.
Mycophenolic acid,Fluticasone propionate,The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Fluticasone propionate.
Nabumetone,Fluticasone propionate,The risk or severity of adverse effects can be increased when Nabumetone is combined with Fluticasone propionate.
Nicergoline,Fluticasone propionate,The risk or severity of adverse effects can be increased when Nicergoline is combined with Fluticasone propionate.
Sufentanil,Fluticasone propionate,The risk or severity of adverse effects can be increased when Sufentanil is combined with Fluticasone propionate.
Ibuprofen,Fluocinolone acetonide,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Fluocinolone acetonide.
Sodium bicarbonate,Clocortolone,The bioavailability of Clocortolone can be decreased when combined with Sodium bicarbonate.
Nafamostat,Hydrocortisone,The risk or severity of adverse effects can be increased when Nafamostat is combined with Hydrocortisone.
Niflumic acid,Hydrocortisone,The risk or severity of adverse effects can be increased when Niflumic acid is combined with Hydrocortisone.
Etofenamate,Hydrocortisone,The risk or severity of adverse effects can be increased when Etofenamate is combined with Hydrocortisone.
Magnesium hydroxide,Fluprednidene,The bioavailability of Fluprednidene can be decreased when combined with Magnesium hydroxide.
Tolnaftate,Risedronic acid,The risk or severity of adverse effects can be increased when Tolnaftate is combined with Risedronic acid.
Fluticasone propionate,Trichlormethiazide,Fluticasone propionate may increase the hypokalemic activities of Trichlormethiazide.
Hydrocortisone,Quinethazone,Hydrocortisone may increase the hypokalemic activities of Quinethazone.
Hydrocortisone,Erythromycin,The metabolism of Erythromycin can be decreased when combined with Hydrocortisone.
Bosentan,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Bosentan.
Everolimus,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Everolimus.
Nateglinide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Nateglinide.
Flunisolide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Flunisolide.
Deflazacort,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Deflazacort.
Lornoxicam,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Lornoxicam.
Ketoconazole,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Ketoconazole.
Estazolam,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Estazolam.
Lurasidone,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Lurasidone.
Chlorpheniramine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Chlorpheniramine.
Etoposide,Nicotine,The metabolism of Nicotine can be decreased when combined with Etoposide.
Estrone,Nicotine,The metabolism of Nicotine can be decreased when combined with Estrone.
Metoclopramide,Nicotine,The risk or severity of adverse effects can be increased when Metoclopramide is combined with Nicotine.
Lidocaine,Idelalisib,The metabolism of Idelalisib can be decreased when combined with Lidocaine.
Loratadine,Rucaparib,The metabolism of Rucaparib can be decreased when combined with Loratadine.
Famotidine,Itraconazole,The serum concentration of Itraconazole can be decreased when it is combined with Famotidine.
Fluticasone propionate,Ivacaftor,The serum concentration of Ivacaftor can be increased when it is combined with Fluticasone propionate.
Loratadine,Netupitant,The serum concentration of Netupitant can be increased when it is combined with Loratadine.
Rifapentine,Salicylic acid,The metabolism of Salicylic acid can be increased when combined with Rifapentine.
Epirubicin,Salicylic acid,Epirubicin may decrease the excretion rate of Salicylic acid which could result in a higher serum level.
Plicamycin,Salicylic acid,Plicamycin may decrease the excretion rate of Salicylic acid which could result in a higher serum level.
Triamterene,Salicylic acid,Triamterene may decrease the antihypertensive activities of Salicylic acid.
Azelastine,Salicylic acid,The risk or severity of adverse effects can be increased when Azelastine is combined with Salicylic acid.
Sevoflurane,Salicylic acid,The risk or severity of adverse effects can be increased when Sevoflurane is combined with Salicylic acid.
Fondaparinux,Salicylic acid,Fondaparinux may increase the anticoagulant activities of Salicylic acid.
Atenolol,Ibuprofen,Atenolol may decrease the antihypertensive activities of Ibuprofen.
Floctafenine,Ibuprofen,The risk or severity of adverse effects can be increased when Floctafenine is combined with Ibuprofen.
Fosinopril,Ibuprofen,The risk or severity of adverse effects can be increased when Fosinopril is combined with Ibuprofen.
Fluticasone propionate,Tibolone,The serum concentration of Tibolone can be increased when it is combined with Fluticasone propionate.
Cortisone acetate,Tibolone,The serum concentration of Tibolone can be increased when it is combined with Cortisone acetate.
Clotrimazole,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Clotrimazole.
Nicotine,Tranylcypromine,The metabolism of Tranylcypromine can be decreased when combined with Nicotine.
Magnesium hydroxide,Chloroquine,The serum concentration of Chloroquine can be decreased when it is combined with Magnesium hydroxide.
Nicotine,Methotrimeprazine,The metabolism of Methotrimeprazine can be decreased when combined with Nicotine.
Ibuprofen,Quinine,The metabolism of Quinine can be decreased when combined with Ibuprofen.
Nicotine,Terbinafine,The metabolism of Terbinafine can be decreased when combined with Nicotine.
Acetaminophen,Valproic acid,The metabolism of Valproic acid can be decreased when combined with Acetaminophen.
Acetylsalicylic acid,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Acetylsalicylic acid.
Flurbiprofen,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Flurbiprofen.
Rilpivirine,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Rilpivirine.
Secobarbital,Omeprazole,The metabolism of Omeprazole can be increased when combined with Secobarbital.
Dextromethorphan,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Dextromethorphan.
Ospemifene,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Ospemifene.
Salicylic acid,Lobeglitazone,The metabolism of Lobeglitazone can be decreased when combined with Salicylic acid.
Acetaminophen,Gemfibrozil,The metabolism of Gemfibrozil can be decreased when combined with Acetaminophen.
Minoxidil,Amlodipine,The risk or severity of adverse effects can be increased when Minoxidil is combined with Amlodipine.
Fluticasone propionate,Brimonidine,Fluticasone propionate may increase the central nervous system depressant (CNS depressant) activities of Brimonidine.
Nitroglycerin,Levobunolol,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Levobunolol.
Reserpine,Nitroglycerin,The risk or severity of adverse effects can be increased when Reserpine is combined with Nitroglycerin.
Bisoprolol,Nitroglycerin,The risk or severity of adverse effects can be increased when Bisoprolol is combined with Nitroglycerin.
Sevoflurane,Nitroglycerin,The risk or severity of adverse effects can be increased when Sevoflurane is combined with Nitroglycerin.
Nimodipine,Nitroglycerin,The risk or severity of adverse effects can be increased when Nimodipine is combined with Nitroglycerin.
Magnesium hydroxide,Sotalol,The serum concentration of Sotalol can be decreased when it is combined with Magnesium hydroxide.
Levobupivacaine,Minoxidil,The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Minoxidil.
Fluticasone propionate,Gallamine triethiodide,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Gallamine triethiodide.
Loratadine,Iloperidone,The risk or severity of adverse effects can be increased when Loratadine is combined with Iloperidone.
Benzocaine,Clidinium,The risk or severity of adverse effects can be increased when Benzocaine is combined with Clidinium.
Fluticasone propionate,Gabapentin enacarbil,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Gabapentin enacarbil.
Ethanol,Benzocaine,Ethanol may increase the central nervous system depressant (CNS depressant) activities of Benzocaine.
Estazolam,Benzocaine,The risk or severity of adverse effects can be increased when Estazolam is combined with Benzocaine.
Maprotiline,Dimenhydrinate,The risk or severity of adverse effects can be increased when Maprotiline is combined with Dimenhydrinate.
Mirtazapine,Dimenhydrinate,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.
Sertindole,Dimenhydrinate,The risk or severity of adverse effects can be increased when Sertindole is combined with Dimenhydrinate.
Reserpine,Loratadine,The risk or severity of adverse effects can be increased when Reserpine is combined with Loratadine.
Dabrafenib,Lidocaine,The serum concentration of Lidocaine can be decreased when it is combined with Dabrafenib.
Aminophylline,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Aminophylline.
Ubidecarenone,Lidocaine,The serum concentration of Lidocaine can be increased when it is combined with Ubidecarenone.
Methohexital,Lidocaine,The risk or severity of adverse effects can be increased when Methohexital is combined with Lidocaine.
Alprazolam,Lidocaine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Lidocaine.
Nifedipine,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Nifedipine.
Toremifene,Caffeine,The metabolism of Caffeine can be decreased when combined with Toremifene.
Teriflunomide,Caffeine,The serum concentration of Caffeine can be decreased when it is combined with Teriflunomide.
Selegiline,Caffeine,The metabolism of Caffeine can be decreased when combined with Selegiline.
Zolmitriptan,Caffeine,The metabolism of Caffeine can be decreased when combined with Zolmitriptan.
Lorcaserin,Caffeine,The metabolism of Caffeine can be decreased when combined with Lorcaserin.
Mianserin,Caffeine,The metabolism of Caffeine can be decreased when combined with Mianserin.
Nitroglycerin,Avanafil,Nitroglycerin may increase the vasodilatory activities of Avanafil.
Minoxidil,Bosentan,Minoxidil may increase the hypotensive activities of Bosentan.
Minoxidil,Debrisoquine,Minoxidil may increase the hypotensive activities of Debrisoquine.
Promazine,Calcium carbonate,Promazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
